Werkwoord	Type	Betekenis	Ik	Jij	Hij	Wij	Jullie	Zij	Prepositie
spreken	regulier	to speak	spreek	spreekt	spreekt	spreken	spreken	spreken	met, over
spelen	regulier	to play	speel	speelt	speelt	spelen	spelen	spelen	met
vragen	regulier	to ask	vraag	vraagt	vraagt	vragen	vragen	vragen	naar, om
herhalen	regulier	to repeat	herhaal	herhaalt	herhaalt	herhalen	herhalen	herhalen	
zeggen	regulier	to say	zeg	zegt	zegt	zeggen	zeggen	zeggen	tegen, over
stoppen	regulier	to stop	stop	stopt	stopt	stoppen	stoppen	stoppen	met
spellen	regulier	to spell	spel	spelt	spelt	spellen	spellen	spellen	
schrijven	regulier	to write	schrijf	schrijft	schrijft	schrijven	schrijven	schrijven	aan, over
blijven	regulier	to stay / remain	blijf	blijft	blijft	blijven	blijven	blijven	bij
lezen	regulier	to read	lees	leest	leest	lezen	lezen	lezen	over
reizen	regulier	to travel	reis	reist	reist	reizen	reizen	reizen	naar
komen	regulier	to come	kom	komt	komt	komen	komen	komen	uit, naar, van
wonen	regulier	to live (reside)	woon	woont	woont	wonen	wonen	wonen	in, bij
leren	regulier	to learn	leer	leert	leert	leren	leren	leren	van, over
dansen	regulier	to dance	dans	danst	danst	dansen	dansen	dansen	met
wandelen	regulier	to walk	wandel	wandelt	wandelt	wandelen	wandelen	wandelen	met, naar
zingen	regulier	to sing	zing	zingt	zingt	zingen	zingen	zingen	over
zitten	regulier	to sit	zit	zit	zit	zitten	zitten	zitten	op, in, bij
werken	regulier	to work	werk	werkt	werkt	werken	werken	werken	bij, aan
kopen	regulier	to buy	koop	koopt	koopt	kopen	kopen	kopen	bij, van
luisteren	regulier	to listen	luister	luistert	luistert	luisteren	luisteren	luisteren	naar
telefoneren	regulier	to call / phone	telefoneer	telefoneert	telefoneert	telefoneren	telefoneren	telefoneren	met, naar
studeren	regulier	to study	studeer	studeert	studeert	studeren	studeren	studeren	aan
tellen	regulier	to count	tel	telt	telt	tellen	tellen	tellen	tot
kijken	regulier	to look / watch	kijk	kijkt	kijkt	kijken	kijken	kijken	naar
gaan	irregulier	to go	ga	gaat	gaat	gaan	gaan	gaan	naar
zijn	irregulier	to be	ben	bent	is	zijn	zijn	zijn	bij, in
hebben	irregulier	to have	heb	hebt	heeft	hebben	hebben	hebben
heten	irregulier	to be called / be named	heet	heet	heet	heten	heten	heten
eten	irregulier	to eat	eet	eet	eet	eten	eten	eten	met
willen	irregulier	to want	wil	wil	wil	will	willen	willen	willen
mogen	irregulier	to be allowed to	mag	mag	mag	mogen	mogen	mogen
moeten	irregulier	must	moet	moet	moet	moeten	moeten	moeten
